Name or Place,Video link 1,Video link 2,Lat,Long,Month,"Proof of location: Landmarks (Youtube video, Landmark, Timestamp, GPS or Google Street link)"
Horti cattle fair at Vijayapura district,https://www.youtube.com/watch?v=nOqMl4gzumA,,13.094863,77.090038,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Karehalli (Chikkanayakanahalli) Ranganatha swamy,https://www.youtube.com/watch?v=LbIfRrtuF2A,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Kengal Anjaneya Swamy,https://www.youtube.com/watch?v=Kz9IOQxnHXI,,13.094863,77.090038,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Kotagal cattle fair,https://www.youtube.com/watch?v=Raqw_XVg42A,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Kukkuvadeshwari Ammana Jatre,https://www.youtube.com/watch?v=X9GMq_zo7js,,13.106016,77.058273,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Kyamenahalli,https://www.youtube.com/watch?v=DlPe5M7UvF4,,13.106016,77.058273,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Maddur ,https://www.youtube.com/watch?v=l0rDfoR0NvY,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Madhugiri,https://www.youtube.com/watch?v=z6fpJ7PhOqc,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Magadi,https://www.youtube.com/watch?v=nYBGtFXmdVQ,,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Mudukothore,https://www.youtube.com/watch?v=mZU1YYa8K5A,,13.321420,76.939077,Jan,"(Y1, Unnamed Parking, 0:30 ,https://www.google.com/maps/@13.321420,76.939077,847m/data=!3m1!1e3!4m6!1m2!2s13.321420!3d76.939077!2m1!1e0)"
Pandarapur,https://www.youtube.com/watch?v=ObconbqTDg8,,13.257809,76.478368,Jan,"(Y1, Unnamed Marketplace, 0:30 ,https://www.google.com/maps/@13.257809,76.478368,847m/data=!3m1!1e3!4m6!1m2!2s13.257809!3d76.478368!2m1!1e0)"
Raibag,https://www.youtube.com/watch?v=PPBxLvYcCbU,,,,,""
Viduraswatha,https://www.youtube.com/watch?v=nKkCFxhfWN0,,13.257809,76.478368,Jan,"(Y1, Unnamed Marketplace, 0:30 ,https://www.google.com/maps/@13.257809,76.478368,847m/data=!3m1!1e3!4m6!1m2!2s13.257809!3d76.478368!2m1!1e0)"
Sapalamma cattle fair (Thoranahalli),https://www.youtube.com/watch?v=Pl3rxs1e6Ts,,13.005639,77.344157,Jan,"(Y1, Unnamed Parking, 0:30 ,https://www.google.com/maps/@13.009735,77.551565,847m/data=!3m1!1e3!4m6!1m2!2s13.009735!3d77.551565!2m1!1e0)"
Shantalli Kumara Lingeshwara,,,,,,""
Sharanabasaveshwara (Yadgir),https://www.youtube.com/watch?v=_tT5r2ZD99E,,16.770000,77.120000,Jan,"(Y1, Unnamed Parking, 0:30 ,https://www.google.com/maps/@17.180819,77.285674,847m/data=!3m1!1e3!4m6!1m2!2s17.180819!3d77.285674!2m1!1e0)"
Siddaganga,https://www.youtube.com/watch?v=bkAi7O-zwS4,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Sidilu Mallikarjuna (periyapatna),https://www.youtube.com/watch?v=xtfiyhGU3ws,,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Sri Adi Shakti Seehali Huchamma (B. Seehalli),https://www.youtube.com/watch?v=8oTFer9_Toc,,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Sugganahalli,https://www.youtube.com/watch?v=_DVaIA3kCbo,https://www.youtube.com/watch?v=-eszpe1D1IE,13.139476,76.962979,Jan,"(Y1, Livestock Fair Area, 0:30 ,https://www.google.com/maps/@13.139476,76.962979,847m/data=!3m1!1e3!4m6!1m2!2s13.139476!3d76.962979!2m1!1e0)"
Suttur,https://www.youtube.com/watch?v=6bk5ZnwXrgM,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Talakayabetta Cattle Fair,https://www.youtube.com/watch?v=YPlvywYjELs,https://www.youtube.com/watch?v=1j8OE_gVTs0,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Udachan,https://www.youtube.com/shorts/k781SU5Nuno,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Ayyanagudi,https://www.youtube.com/watch?v=hKfj5KhdM5U,,13.094863,77.090038,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Dabaspete,,,,,,""
